Gana,Kanji,Meaning,JP_Example_1,JP_Example_Pronunciation_1,JP_Example_Meaning_1,JP_Example_2,JP_Example_Pronunciation_2,JP_Example_Meaning_2
-ちゃん,,"친밀감을 나타내는 호칭, ~야",彼女は妹に「さやかちゃん」と呼びかける。,かのじょはいもうとに「さやかちゃん」とよびかける。,그녀는 여동생을 '사야카쨘'이라고 부른다.,さくらちゃん、こんにちは！。,さくらちゃん、こんにちは！。,"사쿠라야, 안녕!"
-ちゅう/じゅう,中,"~중, ~내내",彼は勉強中でした。,かれは べんきょうちゅう でした。,그는 공부 중이었습니다.,今、会議中です。,いま、かいぎちゅうです。,지금 회의 중입니다
-ど,度,"~번, ~도",一度は試してみるべきだ。,いちどはためしてみるべきだ。,한 번은 시도해 보아야 한다.,彼女は何度も同じ話を繰り返した。,かのじょはなんどもおなじはなしをくりかえした。,그녀는 같은 이야기를 여러 번 반복했다
-にち,日,~일,今日は8月23日です。,きょう は 8がつ 23にち です。,오늘은 8월 23일입니다.,私は毎日日本語を勉強します。,わたしはまいにちにほんごをべんきょうします。,저는 매일 일본어를 공부합니다
-ねん,年,~년,彼は二十三年前に大学を卒業しました。,かれは にじゅうさんねんまえに だいがくを そつぎょうしました。,그는 23년 전에 대학을 졸업했습니다.,このプロジェクトは一年で終わります。,このぷろじぇくとはいちねんでおわります。,이 프로젝트는 1년 안에 끝납니다
-ばん,番,~번,私は一日に三番食べます。,わたしはいちにちにさんばんたべます。,나는 하루에 세 번 먹습니다.,この席は三番です。,このせきはさんばんです。,이 좌석은 3번입니다
-ひき,匹,~마리,私は犬を二匹飼っています。,わたしはいぬをにひきかっています。,나는 개 두 마리를 기르고 있습니다.,私は猫を三匹飼っています。,わたしはねこをさんびきかっています。,저는 고양이 세 마리를 키우고 있습니다
-ぶ,部,~부,私は書道部に所属しています。,わたしは しょどうぶに しょぞくして います。,나는 서도부에 소속되어 있습니다.,この部品は壊れています。,このぶひんはこわれています。,이 부품은 고장 나 있습니다.
-ふん,分,~분,彼は一年に数ふん本を読む。,かれは いちねんに すうぶん ほんを よむ。,그는 1년에 몇 번 책을 읽습니다.,会議は五分おきに休憩を挟みます。,かいぎはごふんおきにきゅうけいをはさみます。,회의는 다섯 분마다 휴식을 넣습니다
-ほん,本,"~자루, ~개",私は本を5冊買った。,わたしはほんをごさつかった。,나는 책 5권을 샀다.,ペンを三本買いました。,ペンをさんぼんかいました。,펜을 세 자루 샀습니다
-まい,枚,~장/매,私は本を10枚買いました。,わたしはほんをじゅうまいかいました。,나는 책 10장을 샀습니다.,この紙を三枚ください。,このかみをさんまいください。,이 종이를 세 장 주세요
-め,目,~째,私は朝には目が覚めるタイプです。,わたしは あさには めが さめる タイプです。,나는 아침에 눈이 떠지는 타입이다.,この本の三つ目の章が一番興味深いです。,このほんのみっつめのしょうがいちばんきょうみぶかいです。,이 책의 세 번째 장이 가장 흥미롭습니다
-めい,名,~명,彼女の美しさは名声に満ちています。,かのじょのうつくしさはめいせいにみちています。,그녀의 아름다움은 명성으로 가득합니다.,彼の名は山田太郎です。,かれのなはやまだたろうです。,그의 이름은 야마다 타로입니다
-や,屋,~가게,おじいさんは町の八百屋によく行きます。,おじいさんはまちのやおやによくいきます。,할아버지는 동네 야채가게에 자주 갑니다.,私は花屋で花を買いました。,わたしははなやではなをかいました。,저는 꽃집에서 꽃을 샀습니다
-やすい,,~하기 쉽다,日本語の文章は簡単に書けない。,にほんごのぶんしょうはかんたんにかけない。,일본어 문장을 쓰기가 쉽지 않다.,この本は読みやすいです。,このほんはよみやすいです。,이 책은 읽기 쉽습니다
~う/よう,,"~하지, ~하겠지",彼女は料理が上手そうだ。,かのじょ は りょうり が じょうず そう だ。,그녀는 요리를 잘하는 것 같다.,明日、映画を見に行こう。,あした、えいがをみにいく。,내일 영화를 보러 가자
~か,,~까?,今日は晴れるか雨が降るか分からない。,きょうは　はれるか　あめが　ふるか　わからない。,오늘은 맑을까 비가 올까 모르겠다.,明日は雨が降るか？,あしたはあめがふるか？,내일 비가 올까?
~が,,"~이/가, ~이지만/인데",彼が本を読んでいる。,かれが ほんを よんでいる。,그가 책을 읽고 있다.,この店のラーメンはおいしいが、値段が高い。,このみせのラーメンはおいしいが、ねだんがたかい。,이 가게의 라멘은 맛있지만 가격이 비싸다
~かも,,~일지도,それはトラブルかもしれない。,それは とらぶる かもしれない。,그것은 문제일지도 모른다.,明日は雨が降るかも。,あしたはあめがふるかも。,내일은 비가 올지도 몰라
~から,,"~에서/부터, ~이니까",朝から運動するのが健康にいいです。,あさからうんどうするのがけんこうにいいです。,아침부터 운동하는 것이 건강에 좋습니다.,この店は駅から近いから、よく利用します。,このみせはえきからちかいから、よくりようします。,이 가게는 역에서 가까워서 자주 이용합니다
~がる,,"~하게 여기다, ~싶어하다",私は毎日勉強がるようになりました。,わたしはまいにちべんきょうがるようになりました。,나는 매일 공부하고 싶어지게 되었다.,彼は新しいスマートフォンを欲しがっている。,かれはあたらしいスマートフォンをほしがっている。,그는 새로운 스마트폰을 갖고 싶어 한다
~くらい/ぐらい,,~정도,今日は気温が２０度くらいです。,きょうはきおんが２０どくらいです。,오늘 기온은 20도 정도입니다.,このペンの値段は千円ぐらいだ。,このペンのねだんはせんえんぐらいだ。,이 펜의 가격은 천 엔 정도예요
~けど/けれど,,~지만/인데,日本語は難しいけど、頑張ります。,にほんごはむずかしいけど、がんばります。,"일본어는 어렵지만, 노력하겠습니다.",このレストランは高いけど、味は最高だ。,このれすとらんはたかいけど、あじはさいこうだ。,이 레스토랑은 비싸지만 맛은 최고다
~し,,"~하고, ~해서",昨日は雨がふりっぱなしだった。,きのうはあめがふりっぱなしだった。,어제는 내내 비가 내렸다.,勉強し、運動して、疲れてしまいました。,べんきょうし、うんどうして、つかれてしまいました。,공부하고 운동해서 피곤해졌습니다
~しか,,~밖에,私は今日の夕食にラーメンしか作れません。,わたしは きょうの ゆうしょくに ラーメンしか つくれません。,오늘 저녁으로는 라면밖에 만들 수 없습니다.,私には時間しかありません。,わたしにはじかんしかありません。,저에게는 시간밖에 없습니다
~ずつ,,~씩,毎日三食ずつ食べる。,まいにち　さんしょく　ずつ　たべる。,하루에 세끼씩 먹는다.,宿題を一問ずつ丁寧に解いていく。,しゅくだいをいちもんずつていねいにといていく。,숙제를 한 문제씩 차분하게 풀어나간다
~せる/させる,,~시키다,母は子供に宿題をさせました。,はは は こども に しゅくだい を させました。,엄마는 아이에게 숙제를 시켰습니다.,先生は学生にレポートを書かせる。,せんせいはがくせいにレポートをかかせる。,선생님은 학생에게 리포트를 쓰게 한다
~そうだ,,"~라고 하다, ~할 것 같다",今日は暑いそうだ。,きょうはあついそうだ。,오늘은 덥다고 한다.,天気予報によると、明日も雨が降るそうだ。,てんきよほうによると、あしたもあめがふるそうだ。,일기예보에 따르면 내일도 비가 올 것 같다
~た,,~었다,私は昨日の試合で走った。,わたしは きのうの しあいで はしった。,나는 어제 경기에서 달렸다.,昨日、新しい本を読んだ。,きのう、あたらしいほんをよんだ。,어제 나는 새로운 책을 읽었다
~だ,,~이다,私は先生だ。,わたしはせんせいだ。,나는 선생님이다.,彼は先生だ。,かれはせんせいだ。,그는 선생이다
~たい,,~하고 싶다,私は旅行に行きたい。,わたしは りょこうに いきたい。,나는 여행가고 싶다.,日本に行きたいです。,にほんにいきたいです。,일본에 가고 싶습니다
~だけ,,"~만, ~뿐",私は水だけ飲みます。,わたしはみずだけのみます。,나는 물만 마십니다.,この本だけを読みます。,このほんだけをよみます。,이 책만 읽습니다
~たら,,"~하면, ~했더니",雨が降ったらどうしよう。,あめがふったらどうしよう。,비가 오면 어떻게 하지.,雨が降ったら、出かけません。,あめがふったら、でかけません。,비가 오면 밖에 나가지 않습니다
~たり,,~하거나,本を読んだり、音楽を聴いたりして過ごしています。,ほんをよんだり、おんがくをきいたりしてすごしています。,"책을 읽거나, 음악을 듣거나 해서 시간을 보냅니다.",夏休みには海に行ったり、山に登ったりします。,なつやすみにはうみにいったり、やまにのぼったりします。,여름 방학에는 바다에 가기도 하고 산에 오르기도 합니다
~で,,~이고,私は学生で、大学に通っています。,わたしはがくせいで、だいがくにかよっています。,"나는 학생이고, 대학교에 다닙니다.",私はペンで字を書きます。,わたしはペンでじをかきます。,저는 펜으로 글씨를 씁니다.
~て,,"~하고/하여, ~해서",私は料理をして友達を家に招待した。,わたしはりょうりをしてともだちをいえにしょうたいした。,나는 요리를 해서 친구를 집에 초대했다.,宿題をして、先生に提出しました。,しゅくだいをして、せんせいにていしゅつしました。,숙제를 하고 선생님께 제출했습니다
~です,,~입니다,私は学生です。,わたしはがくせいです。,나는 학생입니다.,これはペンです。,これはぺんです。,이것은 펜입니다
~ても,,~해도,雨が降っても、公園へ行く予定です。,あめがふっても、こうえんへいくよていです。,비가 와도 공원에 갈 예정입니다.,雨が降っても、試合は続く。,あめがふっても、しあいはつづく。,비가 와도 경기는 계속된다
~と,,"~와/과, ~하면, ~라고",私は犬と猫を飼っています。,わたしはいぬとねこをかっています。,나는 개와 고양이를 기릅니다.,友達と家族を大切にすると、幸せになれる。,ともだちとかぞくをたいせつにすると、しあわせになれる。,친구와 가족을 소중히 하면 행복해질 수 있다
~とか,,"~라든가, ~든지",映画とか本とか、趣味はいろいろありますね。,えいがとかほんとか、しゅみはいろいろありますね。,"영화라든가 책이라든가, 취미는 여러 가지가 있습니다.",週末は映画とか買い物とか、どこへ行くかまだ決めていません。,しゅうまつはえいがとかかいものとか、どこへいくかまだきめていません。,이번 주말은 영화 보든가 쇼핑하든가 어디에 갈지 아직 정하지 못했습니다
~な,,"~구나, ~마라",今日はいい天気だな。,きょうはいいてんきだな。,오늘은 좋은 날씨구나.,ここを触るな。,ここをさわるな。,여기 만지지 마라
~ない,,~하지 않다,私は日本語が話せない。,わたしは にほんごが はなせない。,나는 일본어를 말할 수 없다.,私は魚を食べない。,わたしはさかなをたべない。,나는 생선을 먹지 않는다
~ながら,,~하면서,本を読みながら音楽を聴いています。,ほんをよみながらおんがくをきいています。,책을 읽으면서 음악을 듣고 있습니다.,私は音楽を聴きながら勉強します。,わたしはおんがくをききながらべんきょうします。,나는 음악을 들으면서 공부합니다
~など,,~등,東京、大阪、名古屋など、日本の主要な都市を訪れました。,とうきょう、おおさか、なごやなど、にほんのしゅようなとしをおとずれました。,"동경, 오사카, 나고야 등, 일본의 주요 도시를 방문했습니다.",私は趣味として絵を描くことや写真撮影などを楽しんでいます。,わたしはしゅみとしてえをかくことやしゃしんさつえいなどをたのしんでいます。,저는 취미로 그림 그리기와 사진 촬영 등을 즐기고 있습니다
~なら,,~이라면,彼があなたにお金を払わないなら、警察に行きましょう。,かれが あなたに おかねを はらわないなら、けいさつに いきましょう。,"그가 당신에게 돈을 지불하지 않는다면, 경찰서에 가시죠.",彼女なら、私も賛成です。,かのじょなら、わたしもさんせいです。,"그녀라면, 나도 찬성합니다"
~なんて,,"~같은 것, ~하다니",彼は私に「あなたなんて大嫌い」と言った。,かれはわたしに「あなたなんてだいきらい」といった。,"그는 나에게 ""너 같은 건 정말 싫어""라고 말했다.",彼がそんな難しい課題を一人で解けるなんて、信じられない。,かれがそんなむずかしいかだいをひとりでとけるなんて、しんじられない。,그가 그런 어려운 과제를 혼자서 풀 수 있다니 믿을 수 없다
~に,,"~에, ~에게, ~하러",私は毎日７時に起きます。,わたしは まいにち ７じに おきます。,나는 매일 7시에 일어납니다.,先生に質問をする。,せんせいにしつもんをする。,선생님에게 질문을 하다
~ね,,"~이네, ~이지",今日は暑いですね。,きょう は あつい です ね。,오늘은 덥네요.,きょうはいいてんきだね。,#N/A,#N/A
~の,,"~의, ~이/가, ~인",彼女のかばんは赤い。,かのじょの かばんは あかい。,그녀의 가방은 빨간색이다.,私の本は机の上にあります。,わたしのほんはつくえのうえにあります。,내 책은 책상 위에 있습니다
~ので,,~이니까,今日は寒いので、上着を着ました。,きょうはさむいので、うわぎをきました。,오늘은 추워서 외투를 입었습니다.,雨が降っているので、出かけません。,あめがふっているので、でかけません。,비가 와서 밖에 나가지 않습니다
~のに,,~인데도,映画は面白かったのに、終盤でつまらなくなった。,えいがはおもしろかったのに、しゅうばんでつまらなくなった。,"영화는 재미있었는데도, 후반부에서 지루해졌다.",この店は安いのに、品質が悪い。,このみせはやすいのに、ひんしつがわるい。,이 가게는 싼 편인데도 품질이 나쁘다
~は,,~은/는,私は学生です。,わたしはがくせいです。,나는 학생입니다.,この本はおもしろいです。,このほんはおもしろいです。,이 책은 재미있습니다
~ば,,~하면,雨が降れば傘を差します。,あめがふればかさをさします。,비가 오면 우산을 쓴다.,時間があれば、勉強します。,じかんがあれば、べんきょうします。,시간이 있으면 공부합니다
~ばかり,,"~뿐, ~만, 막~하다",彼は仕事ばかりで、家族との時間がほとんどない。,かれは しごと ばかりで、かぞく との じかん が ほとんど ない。,그는 일밖에 없어서 가족과 시간을 거의 보내지 못한다.,彼女は本を読むばかりで、友達と遊ぶ時間がない。,かのじょはほんをよむばかりで、ともだちとあそぶじかんがない。,그녀는 책만 읽고 친구들과 놀 시간도 없다
~へ,,"~으로, ~에게",東京へ行きます。,とうきょうへ いきます。,서울로 갑니다.,彼女へ手紙を送るために、学校へ行きました。,かのじょへてがみをおくるために、がっこうへいきました。,그녀에게 편지를 보내기 위해 학교에 갔습니다
~ほど,,"~정도, ~만큼",彼女は思ったほど面白くなかった。,かのじょはおもったほどおもしろくなかった。,그녀는 생각했던 만큼 재미있지 않았다.,この料理は私が想像していたほどおいしくなかった。,このりょうりはわたしがそうぞうしていたほどおいしくなかった。,이 요리는 내가 상상했던 만큼 맛있지 않았다
~ます,,~합니다,私は毎日勉強します。,わたしはまいにちべんきょうします。,나는 매일 공부합니다.,毎日コーヒーを飲みます。,まいにちコーヒーをのみます。,나는 매일 커피를 마십니다
~まで,,~까지,私は学校までバスで行きます。,わたしはがっこうまでバスでいきます。,나는 학교까지 버스를 타고 갑니다.,彼は朝まで勉強して、夜まで遊んだ。,かれはあさまでべんきょうして、よるまであそんだ。,그는 새벽까지 공부하고 밤까지 놀았다
~まま,,"~한 채로, ~한 대로",部屋は散らかったままでした。,へやはちらかったままでした。,방은 지저분한 채로 있었습니다.,窓を開けたまま出かけてしまった。,まどをあけたままでかけてしまった。,창문을 연 채로 나가 버렸다
~みたいだ,,~인 것 같다,彼の話し方は、本当に上手みたいだ。,かれの はなしかたは、ほんとうに じょうず みたいだ。,그의 말하는 방식은 정말 잘하는 것 같다.,雨が降るみたいだ。,あめがふるみたいだ。,비가 오는 것 같아
~も,,"~도, ~나",私はリンゴもオレンジも好きです。,わたしはりんごもおれんじもすきです。,나는 사과도 오렌지도 좋아합니다.,私は猫も犬も好きです。,わたしはねこもいぬもすきです。,저는 고양이도 개도 좋아합니다
~や,,~랑,友達や家族と一緒に過ごすのが好きです。,ともだちやかぞくといっしょにすごすのがすきです。,친구랑 가족과 함께 지내는 것을 좋아합니다.,りんごやみかんが好きです。,りんごやみかんがすきです。,사과랑 귤을 좋아합니다
~よ,,~요,こんな時は頼りにしてよ。,こんなときは たよりに してよ。,이럴 때는 의지하라고.,この映画は面白いよ。,このえいがはおもしろいよ。,이 영화는 재미있어。
~ようだ,,~인 것 같다,今日は晴れているようだ。,きょう は はれて いる よう だ。,오늘은 맑은 것 같다.,彼は忙しいようだ。,かれはいそがしいようだ。,그는 바쁜 것 같다
~より,,"~보다, ~(으)로부터",東京より大阪の方が暑いです。,とうきょうよりおおさかのほうがあついです。,동경보다 오사카가 더 덥습니다.,この本はあの本より難しいです。,このほんはあのほんよりむずかしいです。,이 책은 저 책보다 더 어렵습니다
~らしい,,"~인 것 같다, ~답다",今日は寒いらしい。,きょうはさむいらしい。,오늘은 추운 것 같다.,新しい先生は厳しいらしい。,あたらしいせんせいはきびしいらしい。,새로운 선생님은 엄격한 것 같다
~れる/られる,,"~되다, ~할 수 있다, ~하시다",日本語の授業では、新しい単語を覚えられる。,にほんごのじゅぎょうでは、あたらしいたんごをおぼえられる。,일본어 수업에서는 새로운 단어를 기억할 수 있다.,日本語を勉強すれば、たくさんの単語を覚えられる。,にほんごをべんきょうすれば、たくさんのたんごをおぼえられる。,일본어를 공부하면 많은 단어를 외울 수 있다
~わ,,"~로군, ~걸",新しい道を開拓するのは大変だろうなわ。,あたらしい みちを かいたくするのは たいへんだろうなわ。,새로운 길을 개척하는 것은 어려울 것이겠군.,このケーキは本当においしいわ。,このケーキはほんとうにおいしいわ。,이 케이크는 정말 맛있다
~を,,~을/를,私は本を読んでいます。,わたしはほんをよんでいます。,나는 책을 읽고 있습니다.,私は本を読みます。,わたしはほんをよみます。,저는 책을 읽습니다
あいさつ,,인사,朝、友達に挨拶をする。,あさ、ともだちに あいさつを する。,아침에 친구에게 인사한다.,初対面では、まずあいさつをすることが大事です。,しょたいめんでは、まずあいさつをすることがだいじです。,처음 만났을 때는 먼저 인사를 하는 것이 중요합니다
アイスクリーム,,아이스크림,夏の日は家族でアイスクリームを食べに行きます。,なつのひはかぞくでアイスクリームをたべにいきます。,여름날에는 가족과 함께 아이스크림을 먹으러 갑니다.,私はアイスクリームが好きです。,わたしはアイスクリームがすきです。,저는 아이스크림을 좋아합니다.
あいだ,間,"사이, 동안",私たちの間に大きな溝があります。,わたしたちのあいだにおおきなみぞがあります。,우리 사이에 큰 갈등이 있습니다.,会議のあいだ、彼は静かに待っていた。,かいぎのあいだ、かれはしずかにまっていた。,회의 중에 그는 조용히 기다리고 있었다
あう,会う,만나다,母と弟があう日を心待ちにしています。,はは と おとうと が あう ひ を こころまち に して います。,어머니와 동생을 만나는 날을 기다리고 있습니다.,明日、友達に会います。,あした、ともだちにあいます。,내일 친구를 만납니다
あう,合う,"맞다, 어울리다",私の願いがあったからこそ、素晴らしい人と出会えた。,わたしのねがいがあったからこそ、すばらしいひとにであえた。,내 소원이 있었기에 훌륭한 사람을 만날 수 있었다.,彼と私の趣味が合う。,かれとわたしのしゅみがあう。,그와 나의 취미가 잘 맞다
あおい,青い,파랗다,私の好きな色はあおいです。,わたしのすきないろはあおいです。,제가 좋아하는 색은 파란색입니다.,空は青いです。,そらはあおいです。,하늘은 파랗다
あかい,赤い,빨갛다,りんごはあかいです。,りんごはあかいです。,사과는 빨갛습니다.,このリンゴは赤いです。,このリンゴはあかいです。,이 사과는 빨간색입니다
あがる,上がる,오르다,今日の体温が38度にあがった。,きょうのたいおんが38どにあがった。,오늘 체온이 38도까지 올랐다.,夏になると気温が上がる。,なつになるときおんがあがる。,여름이 되면 기온이 올라간다
あかるい,明るい,밝다,部屋にあかるい光が差し込んでいます。,へやにあかるいひかりがさしこんでいます。,방에 밝은 빛이 비치고 있습니다.,この部屋は明るいです。,このへやはあかるいです。,이 방은 밝습니다
あき,秋,가을,今年の秋は気候が穏やかでした。,ことしのあきはきこうがおだやかでした。,올해 가을은 날씨가 온화했습니다.,秋が近づくと、涼しい風が吹き始める。,あきがちかづくと、すずしいかぜがふきはじめる。,가을이 다가오면 서늘한 바람이 불기 시작한다
あく,開く,열리다,あくがらを開ける。,あくがらをあける。,구멍을 열다.,窓が開くと涼しくなる。,まどがひらくとすずしくなる。,창문이 열리면 시원해진다
あげる,上げる,올리다,子供は手をあげて先生に質問した。,こどもは てを あげて せんせいに しつもんした。,아이는 손을 들어 선생님께 질문했다.,友達にプレゼントをあげる。,ともだちにプレゼントをあげる。,친구에게 선물을 준다
あける,開ける,열다,朝、私は目をあけてベッドから起きる。,あさ、わたしはめをあけてベッドからおきる。,아침에 저는 눈을 뜨고 침대에서 일어납니다.,窓を開けると外の風が部屋に入ってくる。,まどをあけるとそとのかぜがへやにはいってくる。,창문을 열면 밖의 바람이 방 안으로 들어온다
あさ,朝,아침,朝は良い日だと思う。,あさはよいひだとおもう。,아침은 좋은 날이라고 생각한다.,朝はコーヒーを飲みます。,あさはコーヒーをのみます。,아침은 커피를 마십니다
あさって,,모레,あさってはかぞくでデートをするつもりです。,あさってはかぞくでデートをするつもりです。,모레에는 가족과 데이트할 계획입니다.,あさって、友達と映画を見に行きます。,あさって、ともだちとえいがをみにいきます。,모레 친구와 영화를 보러 갑니다
あじ,味,맛,魚のあじがとてもおいしかった。,さかなのあじがとてもおいしかった。,물고기 맛이 정말 맛있었다.,この料理のあじは最高だ。,このりょうりのあじはさいこうだ。,이 요리의 맛은 최고다.
あし,足,"발, 다리",私の足が痛くなってきた。,わたしのあしがいたくなってきた。,내 다리가 아프기 시작했다.,あしが痛くて歩けません。,あしがいたくてあるけません。,다리가 아파서 걸을 수 없습니다
あした/あす,明日,내일,あすは大切な会議があります。,あすはたいせつなかいぎがあります。,내일 중요한 회의가 있습니다.,明日、映画を見に行きます。,あした、えいがをみにいきます。,내일 영화를 보러 갑니다
あそこ,,저기,公園のあそこで子供たちが遊んでいます。,こうえんのあそこでこどもたちがあそんでいます。,그 공원 저기에서 아이들이 놀고 있습니다.,あそこにお店があります。,あそこにおみせがあります。,저기에 가게가 있습니다
あそぶ,遊ぶ,놀다,子供たちは遊び場で元気に遊んでいます。,こどもたちは あそびばで げんきに あそんでいます。,아이들은 운동장에서 정력적으로 놀고 있습니다.,今日は友だちと公園で遊ぶ予定です。,きょうはともだちとこうえんであそぶよていです。,오늘은 친구들과 공원에서 놀 계획입니다
あたたかい/あったかい,,따뜻하다,今日はあたたかい日差しが心地よかったです。,きょうはあたたかいひざしがここちよかったです。,오늘은 따뜻한 햇살이 기분 좋았습니다.,この部屋はあたたかいです。,このへやはあたたかいです。,이 방은 아주 따뜻합니다
あたま,頭,머리,いつもあたまが痛くなります。,いつもあたまがいたくなります。,항상 머리가 아프게 됩니다.,あたまが痛いです。,あたまがいたいです。,제 머리가 아파요.
あたらしい,新しい,새롭다,私はあたらしい本を読みました。,わたしはあたらしいほんをよみました。,나는 새로운 책을 읽었다.,あたらしいノートを買いました。,あたらしいのおとをかいました。,새 노트를 샀습니다
あちら/あっち,,저쪽,あちらの公園で子供たちが遊んでいます。,あちらのこうえんでこどもたちがあそんでいます。,저쪽 공원에서 아이들이 놀고 있습니다.,あちらの席におかけください。,あちらのせきにおかけください。,저쪽 좌석에 앉아 주세요
あつい,暑い,덥다,今日はあつい日でしたね。,きょう は あつい ひ でした ね。,오늘은 덥던 날이었네요.,今日は暑いです。,きょうはあついです。,오늘은 덥습니다
