ミ,미,ミルク,우유
ポ,포,ポスト,우체통
ウ,우,ウイスキー,위스키
ユ,유,ユニーク,"유니크, 독특한"
ガ,가,ガラス,유리
ぴゃ,퍄,ろっぴゃく,육백 (600)
ぎ,기,ぎんこう,은행
みゅ,뮤,みゅじっく,음악
イ,이,イス,의자
び,비,くちびる,입술
ジャ,쟈,ジャム,잼
で,데,でんわ,전화
ん,응,でんわ,전화
ゼ,제,ゼロ,"제로, 0"
ジェ,제,ジェット,제트
ジョ,죠,ジョギング,조깅
ゾ,조,ゾーン,"존, 구역"
ジュ,쥬,ジュース,주스
ちゅ,츄,ちゅうい,주의
ち,치,ちず,지도
ちゃ,챠,おちゃ,차 (tea)
チャ,챠,チャンス,"찬스, 기회"
ま,마,まど,창문
つ,츠,つくえ,책상
を,오,ほんをよむ,책을 읽다
ぬ,누,ぬの,천
ジ,지,ジーンズ,청바지
チェ,체,チェック,체크
す,스,すし,초밥
チョ,쵸,チョコレート,초콜릿
サ,사,サッカー,축구
チ,치,チーズ,치즈
ベ,베,ベッド,침대
カ,카,カメラ,카메라
キャ,캬,キャンセル,"캔슬, 취소"
コ,코,コーヒー,커피
ぴゅ,퓨,こんぴゅーたー,컴퓨터
キ,키,ケーキ,케이크
ぢ,지,はなぢ,코피
キュ,큐,キューバ,쿠바
ク,쿠,クラス,"클래스, 반"
ヤ,야,タイヤ,타이어
タ,타,タクシー,택시
テ,테,テスト,테스트
ト,토,トマト,토마토
ぷ,푸,てんぷら,튀김
チュ,츄,チューリップ,튤립
ファ,파,ファイル,파일
ティ,티,パーティー,파티
パ,파,パーティー,파티
フェ,페,フェリー,페리 (여객선)
ぺ,페,ぺん,펜
ン,응,ペン,펜
フォ,포,フォーク,포크
ひょ,효,ひょう,표범
ヒョ,효,ヒョウ,표범
ピュ,퓨,ピューマ,퓨마
ギュ,규,フィギュア,피규어
ピ,피,ピアノ,피아노
フ,후,フィルム,필름
フィ,피,フィルム,필름
そ,소,そら,하늘
が,가,がっこう,학교
ヘ,헤,ヘリコプター,헬리콥터
ハ,하,ホテル,호텔
ホ,호,ホームページ,홈페이지
ざ,자,かざん,화산
しゃ,샤,かいしゃ,회사
ひゅ,휴,ひゅうが,휴가 (지명)
ヒュ,휴,ヒューマン,"휴먼, 인간"
ヒ,히,ヒーロー,"히어로, 영웅"
ヂ,지,はなぢ,코피의 가타카나
ヅ,즈,みかづき,초승달의 가타카나
ツィ,치,ニッツィ,니체
ツォ,초,カンツォーネ,칸쵸
ビャ,뱌,さんびゃく,삼백의 가타카나
ピャ,퍄,ろっぴゃく,육백의 가타카나
ビョ,뵤,ビョルン,뵤룬
ピョ,표,ピョコピョコ,점프 점프
リャ,랴,チャリャピン,차랴핀
リョ,료,リョウ,료
ヲ,오,キミヲマツ,그대를 기다림
